,delay
0,2.2468907833099365
1,-3.3508479595184326
2,-4.63243556022644
3,-4.636717081069946
4,-4.641960382461548
5,-4.637861728668213
6,-4.640959978103638
7,-4.64199161529541
8,-4.6384241580963135
9,-4.642672538757324
10,-4.6406800746917725
11,-4.621431350708008
12,-4.643186092376709
13,-4.641841650009155
14,-4.614742279052734
15,-4.636699438095093
16,-4.562384128570557
17,-4.630460739135742
18,-4.6400556564331055
19,-4.641663074493408
20,-4.636926174163818
21,-4.633044004440308
22,-4.6395745277404785
23,-4.636784315109253
24,-4.640801906585693
25,-4.641493558883667
26,-4.644293308258057
27,-4.634926795959473
28,-4.636697053909302
29,-4.639698266983032
30,-4.634208679199219
31,-4.627991676330566
32,-4.632899045944214
33,-4.641623020172119
34,-4.6423773765563965
35,-4.639546155929565
36,-4.634328126907349
37,-4.638656377792358
38,-4.641460418701172
39,-4.641253232955933
40,-4.4225990772247314
41,-4.639311790466309
42,-4.6421191692352295
43,-4.639893531799316
44,-4.6405861377716064
45,-4.641386032104492
46,-4.6428306102752686
47,-4.635998725891113
48,-4.641741991043091
49,-4.640941143035889
50,-4.639524221420288
51,-4.430998802185059
52,-4.6419594287872314
53,-4.635798454284668
54,-4.636276483535767
55,-4.637578964233398
56,-4.639082193374634
57,-4.642280578613281
58,-4.633206844329834
59,-4.635990619659424
60,-4.635128021240234
61,-4.642266750335693
62,-4.639786005020142
63,-4.638571739196777
64,-4.612194776535034
65,-4.636217355728149
66,-4.634961128234863
67,-4.637155294418335
68,-4.629711389541626
69,-4.638169527053833
70,-4.638163328170776
71,-4.637437343597412
72,-4.639303922653198
73,-4.638428449630737
74,-4.637626886367798
75,-4.638520240783691
76,-4.638123989105225
77,-4.631634473800659
78,-4.634200811386108
79,-4.626831531524658
80,-4.638534784317017
81,-4.6384382247924805
82,-4.634296655654907
83,-4.649014949798584
84,-4.651981353759766
85,-4.669475793838501
86,-4.658033609390259
87,-4.647950172424316
88,-4.642803907394409
89,-4.642025947570801
90,-4.636061668395996
91,-4.643069744110107
92,-4.638766527175903
93,-4.628032922744751
94,-4.617472887039185
95,-4.643178701400757
96,-4.64129900932312
97,-4.636198043823242
98,-4.6384642124176025
99,-4.636505842208862
100,-4.632992267608643
101,-4.633835315704346
102,-4.640083312988281
103,-4.6350860595703125
104,-4.63701868057251
105,-4.6426098346710205
106,-4.639492511749268
107,-4.642457962036133
108,-4.642362117767334
109,-4.640655279159546
110,-4.644827842712402
111,-4.63797926902771
112,-4.6367027759552
113,-4.642784833908081
114,-4.6414690017700195
115,-4.642181634902954
116,-4.642402648925781
117,-4.642928123474121
118,-4.643453121185303
119,-4.63569712638855
120,-4.642045497894287
121,-4.645117282867432
122,-4.642328500747681
123,-4.642305374145508
124,-4.644468784332275
125,-4.639246463775635
126,-4.634588956832886
127,-4.638332366943359
128,-4.640399217605591
129,-4.638532876968384
130,-4.639236927032471
